model,dataset,imratio,ece,mce,oel,sce,ace,top1,auc
resnet18,c2,0.01,0.16540335063934325,0.24610627003597507,0.14127906453260267,0.1638474168108776,0.16263477938640863,62.81999969482422,0.6781641376030763
resnet18,stl10,0.01,0.35701055422425265,0.4155356235751103,0.33885134821254687,0.35280148010404083,0.351688506977999,55.150001525878906,0.60799984375
resnet18,cifar100,0.01,0.27668966537117956,0.3277891080258256,0.23146516788957563,0.28236354694105686,0.2811887467201799,53.2599983215332,0.5988056500000001
resnet18,cifar10,0.01,0.1598932884514332,0.2391117916342691,0.1328260104366661,0.16139440099038183,0.1604266660146415,61.29999923706055,0.66767129
resnet18,c2,0.01,0.10435687044858932,0.1966299791085092,0.05939571747582351,0.10435686735659838,0.11050086480677129,49.68000030517578,0.6399638129177772
resnet18,stl10,0.01,0.22514966949820517,0.2671145504834701,0.16284087999045038,0.22514965762686914,0.2251720062135719,50.0,0.5678262656249999
resnet18,c2,0.01,0.15772634114027023,0.21911499842558757,0.13346147197932218,0.16089490889385344,0.15939663762953135,63.47999954223633,0.690642768727807
resnet18,stl10,0.01,0.21585945083945987,0.314257300106201,0.18401915602631438,0.21635707157640718,0.21517291644896613,57.45000076293945,0.602772609375
resnet18,cifar10,0.01,0.08204225712418559,0.2514651417732239,0.04252974340674265,0.08204224347621202,0.09226092442423106,50.0,0.5877458900000001
resnet18,cifar100,0.01,0.08790638755559922,0.20302841209229971,0.05117701304523048,0.08790637917518615,0.08875612081736327,50.0,0.58066375
resnet18,c2,0.01,0.23378779436349867,0.2882140687975485,0.2074234367351681,0.25421726841367775,0.252519753497839,60.459999084472656,0.6800714557268266
resnet18,c2,0.01,0.18615221239328383,0.24817305372029852,0.1608380937814624,0.18748155464436858,0.18818944612764754,62.5,0.6805350747166604
resnet18,stl10,0.01,0.25857342121750115,0.3504936476671918,0.23127147325795577,0.2599188009378267,0.25984335077487053,57.91250228881836,0.6170461249999999
resnet18,cifar10,0.01,0.11692481194138529,0.12346295126287571,0.07119763011856997,0.11692480836026371,0.11694857816696169,50.0,0.6103842500000001
resnet18,cifar100,0.01,0.08720521228313446,0.19281137212414612,0.05788272057501992,0.09602849154807627,0.09589203911274671,55.39999771118164,0.6018140300000001
resnet18,c2,0.01,0.15772634114027023,0.21911499842558757,0.13346147197932218,0.16089490889385344,0.15939663762953135,63.47999954223633,0.690642768727807
resnet18,stl10,0.01,0.3070350220352412,0.40120881217663873,0.2832950576175653,0.3104415890930686,0.31075459552111717,55.9375,0.58698259375
resnet18,cifar10,0.01,0.11128156524300575,0.2211326574343765,0.08747264189408609,0.12096359526067972,0.12161976104453208,60.31999969482422,0.65246597
resnet18,cifar100,0.01,0.24738555724024774,0.29987450943139327,0.19736457998133955,0.2553711697699502,0.2543789023317397,52.86000061035156,0.6004558999999999
resnet18,stl10,0.01,0.25857342121750115,0.3504936476671918,0.23127147325795577,0.2599188009378267,0.25984335077487053,57.91250228881836,0.6170461249999999
resnet18,cifar10,0.01,0.1444917506933212,0.22759133337428739,0.1193897118057079,0.15370642364043743,0.15388023869115863,61.81999969482422,0.67800208
resnet18,cifar100,0.01,0.25921240345239643,0.3217340097135427,0.21241823367912388,0.2655888864075765,0.2619351736962795,52.91999816894531,0.59876007
resnet18,cifar10,0.01,0.1444917506933212,0.22759133337428739,0.1193897118057079,0.15370642364043743,0.15388023869115863,61.81999969482422,0.67800208
resnet18,cifar100,0.01,0.18320253912210466,0.3308392185153384,0.12925266916237246,0.19547559546288107,0.19551160412579777,51.71999740600586,0.60493478
